slackProfileUrl,slackUsername,url,response,passed,passedBonus
https://hng9.slack.com/team/U042JT8V108,ridowayne1,https://rilwan-app1.herokuapp.com/api/v1/test/calculate,"{""normal"":{""request"":{""operation_type"":""addition"",""x"":1,""y"":2,""result"":3},""response"":{""slackUsername"":""ridowayne1"",""result"":3,""operation_type"":""addition""}},""bonus"":{""status"":""fail"",""message"":""invalid operation type, your operation can either be addition, multiplication or subtraction""}}",true,false
https://hng9.slack.com/team/U048ENBHSPM,TaslimOwolarafe,https://hngstage1taslim.herokuapp.com/,"{""normal"":{""request"":{""operation_type"":""subtraction"",""x"":20000,""y"":20000000,""result"":-19980000},""response"":{""slackUsername"":""TaslimOwolarafe"",""result"":-19980000,""operation_type"":""subtraction""}},""bonus"":{""slackUsername"":""TaslimOwolarafe"",""result"":13300,""operation_type"":""multiplication""}}",true,false
https://hng9.slack.com/team/U048ENBHSPM,TaslimOwolarafe,https://hngstage1taslim.herokuapp.com/?bonus=true,"{""normal"":{""request"":{""operation_type"":""What is the product of"",""x"":50,""y"":266,""result"":13300},""response"":{""slackUsername"":""TaslimOwolarafe"",""result"":13300,""operation_type"":""multiplication""}},""bonus"":[]}",true,false
https://hng9.slack.com/team/U048PG8LH5F,Benrobo,https://ill-plum-bandicoot-boot.cyclic.app/compute,"{""normal"":{""request"":{""operation_type"":""addition"",""x"":20000000,""y"":20000000,""result"":40000000},""response"":{""slackUsername"":""Benrobo"",""operation_type"":""addition"",""result"":40000000}},""bonus"":{""slackUsername"":""Benrobo"",""operation_type"":""invalid operator type"",""result"":0}}",true,false
https://hng9.slack.com/team/U0489M8PF37,"morah stephen",https://hng-1-production.up.railway.app/calc,"{""normal"":{""request"":{""operation_type"":""addition"",""x"":1,""y"":2,""result"":3},""response"":{""slackUsername"":""morah stephen"",""operation_type"":""addition"",""result"":3}},""bonus"":{""slackUsername"":""morah stephen"",""operation_type"":""addition"",""result"":1959}}",true,false
https://hng9.slack.com/team/U0489M8PF37,"morah stephen",https://hng-1-production.up.railway.app/calc?bonus=true,"{""normal"":{""request"":{""operation_type"":""Can you add"",""x"":182,""y"":1777,""result"":1959},""response"":{""slackUsername"":""morah stephen"",""operation_type"":""addition"",""result"":1959}},""bonus"":[]}",true,false
https://hng9.slack.com/team/U048CRE3QNQ,YusufAlamu,https://official-volunux.uc.r.appspot.com/,"{""normal"":{""request"":{""operation_type"":""addition"",""x"":20000000,""y"":20000000,""result"":40000000},""response"":{""slackUsername"":""YusufAlamu"",""result"":40000000,""operation_type"":""addition""}},""bonus"":{""errorType"":""dataValidation"",""message"":{""operationType"":""Arithmetic operation type should be any of the following values addition, subtraction, multiplication and division.""}}}",true,false
https://hng9.slack.com/team/U047YLAE0R5,Wamuyu,https://hng-stage2-wamu.herokuapp.com/app,"{""normal"":{""request"":{""operation_type"":""addition"",""x"":1,""y"":2,""result"":3},""response"":{""slackUsername"":""Wamuyu"",""result"":3,""operation_type"":""addition""}},""bonus"":[]}",true,false
https://hng9.slack.com/team/U04826W7806,Nikky,https://hng-api-app.herokuapp.com/api/v1/operations,"{""normal"":{""request"":{""operation_type"":""subtraction"",""x"":20000,""y"":20000000,""result"":-19980000},""response"":{""slackUsername"":""Nikky"",""operation_type"":""subtraction"",""result"":-19980000}},""bonus"":[]}",true,false
https://hng9.slack.com/team/U048E05TAAY,nagatox60,https://my-hng-app.herokuapp.com/result/,"{""normal"":{""request"":{""operation_type"":""subtraction"",""x"":10,""y"":2,""result"":8},""response"":{""slackUsername"":""nagatox60"",""result"":8,""operation_type"":""subtraction""}},""bonus"":{""slackUsername"":""nagatox60"",""result"":-15,""operation_type"":""subtraction""}}",true,false
